GMV slab,Creators sampled,Sample orders,Total GMV,Total spend,Total sample cost,M+0,M+1,M+2,M+3,M+4,M+5,M+6 and later,Spend M+0,Spend M+1,Spend M+2,Spend M+3,Spend M+4,Spend M+5,Spend M+6 and later,Sample cost M+0,Sample cost M+1,Sample cost M+2,Sample cost M+3,Sample cost M+4,Sample cost M+5,Sample cost M+6 and later,ROAS,Final ROAS
£0-£50,5656,5733,13829.0,6915.0,36062.0,6547.0,3386.0,2475.0,399.0,25.0,980.0,17.0,1825.0,1255.0,2713.0,189.0,7.0,813.0,113.0,35361.0,181.0,217.0,72.0,60.0,36.0,135.0,2.0,0.32
£50-£100,676,702,4179.0,854.0,4876.0,2157.0,802.0,549.0,243.0,141.0,150.0,137.0,408.0,148.0,66.0,57.0,40.0,22.0,113.0,4440.0,125.0,107.0,78.0,12.0,48.0,66.0,4.89,0.73
£100-£200,942,992,27896.0,16932.0,7120.0,5369.0,18858.0,2109.0,267.0,597.0,420.0,276.0,2790.0,12076.0,1428.0,78.0,167.0,225.0,168.0,6077.0,272.0,261.0,168.0,108.0,90.0,144.0,1.65,1.16
£200-£500,1394,1501,21659.0,7832.0,12230.0,9732.0,5319.0,1420.0,1245.0,790.0,433.0,2720.0,3370.0,1889.0,405.0,472.0,416.0,286.0,994.0,9403.0,680.0,671.0,524.0,349.0,276.0,327.0,2.77,1.08
£500-£1K,1032,1140,30981.0,12768.0,10031.0,14056.0,4240.0,4494.0,1870.0,2565.0,1444.0,2312.0,5827.0,1009.0,2366.0,726.0,1128.0,617.0,1095.0,6936.0,798.0,665.0,411.0,418.0,217.0,586.0,2.43,1.36
£1K-£5K,1731,1952,152752.0,80870.0,20763.0,48413.0,44650.0,17583.0,17678.0,4817.0,9046.0,10565.0,24037.0,24879.0,9908.0,5484.0,2782.0,5409.0,8371.0,12288.0,1481.0,1620.0,1432.0,1159.0,1187.0,1596.0,1.89,1.5
£5K-£10K,357,402,138782.0,68224.0,4789.0,51474.0,23503.0,15780.0,7805.0,8293.0,17881.0,14046.0,23372.0,12678.0,8358.0,5313.0,4144.0,8854.0,5505.0,2546.0,445.0,357.0,345.0,281.0,242.0,573.0,2.03,1.9
£10K-£25K,313,339,372526.0,201967.0,3488.0,98420.0,121500.0,31946.0,48433.0,8792.0,13834.0,49601.0,46782.0,64227.0,20714.0,19758.0,5292.0,5568.0,39626.0,2185.0,203.0,256.0,148.0,199.0,111.0,386.0,1.84,1.81
£25K-£50K,105,115,120466.0,74501.0,1329.0,15173.0,23672.0,17717.0,16533.0,11898.0,5064.0,30409.0,9435.0,12028.0,12234.0,9971.0,7803.0,3947.0,19083.0,763.0,73.0,89.0,78.0,64.0,65.0,197.0,1.62,1.59
£50K+,63,73,118100.0,57158.0,759.0,52922.0,8722.0,23397.0,21747.0,8261.0,2909.0,142.0,25715.0,4434.0,6870.0,13137.0,2956.0,3941.0,105.0,468.0,42.0,57.0,52.0,71.0,57.0,12.0,2.07,2.04
No data,1111,1129,4295.0,3733.0,6288.0,4295.0,0.0,0.0,0.0,0.0,0.0,0.0,3733.0,0.0,0.0,0.0,0.0,0.0,0.0,6164.0,82.0,42.0,0.0,0.0,0.0,0.0,1.15,0.43
