handle,Sample month,First sample,GMV slab,Sample orders,M+0,M+1,M+2,M+3,M+4,M+5,M+6 and later,Spend M+0,Spend M+1,Spend M+2,Spend M+3,Spend M+4,Spend M+5,Spend M+6 and later,Sample cost M+0,Sample cost M+1,Sample cost M+2,Sample cost M+3,Sample cost M+4,Sample cost M+5,Sample cost M+6 and later,Total GMV,Total spend,Total sample cost,ROAS,Final ROAS
nicolamademebuyit,2025-07,2025-07-24,£10K-£25K,1,0.0,8782.0,339.0,0.0,0.0,0.0,461.0,0.0,5516.0,296.0,0.0,0.0,0.0,142.0,6.0,0.0,0.0,0.0,0.0,0.0,23.0,9582.0,5954.0,29.0,1.61,1.6
highlevelwindowcleaner,2025-07,2025-07-03,£1K-£5K,1,504.0,454.0,758.0,191.0,0.0,0.0,161.0,13.0,0.0,6.0,1.0,2.0,0.0,13.0,6.0,0.0,0.0,0.0,0.0,0.0,12.0,2068.0,35.0,18.0,59.09,39.02
eveem,2025-07,2025-07-09,£5K-£10K,1,862.0,75.0,0.0,0.0,0.0,0.0,0.0,441.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,937.0,442.0,6.0,2.12,2.09
adrianna_wl,2025-07,2025-07-03,£1K-£5K,1,0.0,0.0,0.0,0.0,0.0,0.0,697.0,0.0,0.0,0.0,0.0,0.0,0.0,979.0,6.0,0.0,0.0,0.0,0.0,0.0,62.0,697.0,979.0,68.0,0.71,0.67
blackstone.uk,2025-07,2025-07-03,£5K-£10K,1,82.0,612.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,694.0,63.0,6.0,11.02,10.06
joulesreviews,2025-07,2025-07-23,£500-£1K,1,623.0,0.0,25.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,648.0,46.0,6.0,14.09,12.46
clarkies_fingsnstuff,2025-07,2025-07-02,£1K-£5K,1,140.0,0.0,0.0,397.0,0.0,0.0,24.0,17.0,0.0,0.0,142.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,6.0,561.0,159.0,12.0,3.53,3.28
tiasplace0,2025-07,2025-07-03,£1K-£5K,1,25.0,40.0,25.0,169.0,40.0,0.0,76.0,0.0,0.0,0.0,13.0,31.0,2.0,26.0,6.0,0.0,0.0,0.0,0.0,0.0,6.0,375.0,72.0,12.0,5.21,4.46
mercy.it,2025-07,2025-07-23,£1K-£5K,1,0.0,0.0,0.0,0.0,0.0,0.0,369.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,6.0,0.0,0.0,0.0,0.0,0.0,18.0,369.0,52.0,24.0,7.1,4.86
shahzad_kiyani_uk,2025-07,2025-07-03,£0-£50,1,180.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,14.0,6.0,12.86,9.0
kim83x,2025-07,2025-07-24,£25K-£50K,1,0.0,104.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0,0.0,6.0,,17.33
belzibop,2025-07,2025-07-02,£25K-£50K,1,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,6.0,69.0,1.0,12.0,69.0,5.31
chance4356,2025-07,2025-07-03,£5K-£10K,1,40.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,1.0,1.0,39.0,6.0,0.0,0.0,0.0,0.0,0.0,65.0,54.0,41.0,71.0,1.32,0.48
everwellnutrition,2025-07,2025-07-03,£500-£1K,1,0.0,0.0,0.0,0.0,0.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,29.0,6.0,1.86,1.54
carolxx37,2025-07,2025-07-03,£500-£1K,1,0.0,25.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,6.0,51.0,2.0,12.0,25.5,3.64
iqra.ali.london,2025-07,2025-07-02,£10K-£25K,1,25.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,6.0,0.0,0.0,0.0,0.0,0.0,12.0,48.0,9.0,18.0,5.33,1.78
poli_pink_shop,2025-07,2025-07-03,£1K-£5K,1,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,6.0,,6.67
sarahs_reviews,2025-07,2025-07-02,£200-£500,1,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,6.0,,6.67
